ID,COUNTY,countyname,state,population,counts.sum,region,region2,indices.avg,counts.sum,voc.indices.avg,soc.indices.avg,metal.indices.avg,dbp.indices.avg,pfas.indices.avg,horm.indices.avg,indices.sum,countynamenospace
115,5099,NEVADA,AR,8799,144,West South Central,South-East,0.21061283,144,0,0,0.572693774,1.113943352,0,0,5.475933574,NEVADA
116,5101,NEWTON,AR,8064,277,West South Central,South-East,0.081131,277,0,0,0.446220501,0,0,0,2.677323008,NEWTON
117,5107,PHILLIPS,AR,20399,14,West South Central,South-East,0,14,0,0,0,0,0,0,0,PHILLIPS
118,5115,POPE,AR,62547,224,West South Central,South-East,0.161919329,224,0,0,0.456810855,0.659440782,0,0,3.40030591,POPE
119,5117,PRAIRIE,AR,8374,98,West South Central,South-East,0.241597845,98,0,0,0.574878774,1.624282096,0,0,5.073554741,PRAIRIE
120,5119,PULASKI,AR,391284,1100,West South Central,South-East,0.355087683,1100,0,0.359021943,1.258584284,1.576916956,0,0,11.71789352,PULASKI
121,5123,ST. FRANCIS,AR,27260,72,West South Central,South-East,0.278229848,72,0,0,1.205662676,0,0,0,7.233976053,ST.-FRANCIS
122,5125,SALINE,AR,114404,1286,West South Central,South-East,0.515557253,1286,0,0.359021943,1.435557922,1.33243846,0,0,13.40448857,SALINE
123,5131,SEBASTIAN,AR,127342,424,West South Central,South-East,0.126055699,424,0,0,0.573972453,0,0,0,4.159838059,SEBASTIAN
124,5133,SEVIER,AR,17366,14,West South Central,South-East,0,14,0,0,0,0,0,0,0,SEVIER
125,5137,STONE,AR,12581,144,West South Central,South-East,0.193172232,144,0,0,0.450553444,1.554682339,0,0,5.022478031,STONE
126,5139,UNION,AR,40694,242,West South Central,South-East,0.203031615,242,0.023266142,0,0.773139625,0,0,0,5.278821999,UNION
127,5141,VAN BUREN,AR,16932,256,West South Central,South-East,0.244996201,256,0,0,0.613847713,0.456366033,0,0,6.369901235,VAN-BUREN
128,5143,WASHINGTON,AR,216410,1129,West South Central,South-East,0.170257839,1129,0,0,0.709149453,1.041392685,0,0,5.618508698,WASHINGTON
129,5145,WHITE,AR,78483,612,West South Central,South-East,0.284320047,612,0,0,1.042542737,1.788848634,0,0,9.382561547,WHITE
130,6001,ALAMEDA,CA,1578891,29789,Pacific,West,0.440739111,29789,0.05447725,0.660051938,1.59862204,1.62838893,0.013196874,0,12.3406951,ALAMEDA
131,6005,AMADOR,CA,36519,196,Pacific,West,0.283495595,196,0,0,0.758556924,1.176091259,0,0,7.370885481,AMADOR
132,6007,BUTTE,CA,222090,7830,Pacific,West,0.442164316,7830,0.330502244,0.808114474,1.539637801,1.568201724,0.070813606,0.017848391,14.59142244,BUTTE
133,6009,CALAVERAS,CA,44515,1000,Pacific,West,0.211499091,1000,0,0,0.691093685,1.694605199,0,0.019757528,6.97947001,CALAVERAS
134,6013,CONTRA COSTA,CA,1094205,24705,Pacific,West,0.5500378,24705,0.32492093,0.660051938,1.787699543,1.740362689,0,0,15.4010584,CONTRA-COSTA
135,6015,DEL NORTE,CA,27873,56,Pacific,West,0.292464916,56,0,0,0.907132204,0.698970004,0,0,6.14176323,DEL-NORTE
136,6017,EL DORADO,CA,181737,7812,Pacific,West,0.3725445,7812,0,0,1.514803888,1.342422681,0,0,10.43124601,EL-DORADO
137,6019,FRESNO,CA,955272,200826,Pacific,West,0.689421754,200826,0.739769525,0.552841969,2.040578747,2.079181246,0,0.156425073,22.75091788,FRESNO
138,6023,HUMBOLDT,CA,134493,912,Pacific,West,0.255351564,912,0,0,1.22765063,1.06069784,0,0,8.426601617,HUMBOLDT
139,6025,IMPERIAL,CA,176584,3072,Pacific,West,0.527119121,3072,0.050311788,0.301029996,2.043504139,1.84509804,0,0,14.75933539,IMPERIAL
140,6029,KERN,CA,864124,44084,Pacific,West,0.613737285,44084,0.491845009,1.057991947,2.162378691,2.77815125,0,0,20.25333041,KERN
141,6031,KINGS,CA,150960,6094,Pacific,West,0.66896959,6094,0.725231846,0.734685557,1.819009789,2.190331698,0.179621863,0.046031328,22.07599646,KINGS
142,6033,LAKE,CA,63860,172,Pacific,West,0.200246025,172,0.037605919,0,0.683433378,1.812913357,0,0,6.608118825,LAKE
143,6035,LASSEN,CA,32163,112,Pacific,West,0.392000469,112,0,0,1.231151967,0.84509804,0,0,8.232009843,LASSEN
144,6037,LOS ANGELES,CA,10017068,506746,Pacific,West,0.769351027,506746,0.880019127,2.046996563,2.239984149,1.740362689,0.086391567,0.093453792,25.38858388,LOS-ANGELES
146,6039,MADERA,CA,152389,2085,Pacific,West,0.549601283,2085,0.056848573,0.455931956,2.258429438,1.875061263,0,0,18.13684235,MADERA
147,6041,MARIN,CA,258365,497,Pacific,West,0.230255644,497,0,0,0.854156456,1.322219295,0,0,6.447158032,MARIN
148,6043,MARIPOSA,CA,17755,28,Pacific,West,0,28,0,0,0,0,0,0,0,MARIPOSA
149,6045,MENDOCINO,CA,87192,452,Pacific,West,0.286215886,452,0,0,0.897278629,1.77815125,0,0,9.445124253,MENDOCINO
150,6047,MERCED,CA,263228,5838,Pacific,West,0.620867439,5838,0.561588387,0.132625565,2.163603036,1.875061263,0,0,20.48862548,MERCED
151,6051,MONO,CA,14074,320,Pacific,West,0.335083085,320,0,0,1.161966254,1.041392685,0,0,8.712160211,MONO
152,6053,MONTEREY,CA,428826,17934,Pacific,West,0.613906607,17934,0.169477727,1.385350881,2.086584671,2.537819095,0,0.045038634,20.25891804,MONTEREY
153,6055,NAPA,CA,140326,1616,Pacific,West,0.345898354,1616,0,0,1.267662113,1.301029996,0,0.111164464,9.685153925,NAPA
154,6057,NEVADA,CA,98200,1596,Pacific,West,0.44903695,1596,0,0,1.242008725,1.977723605,0,0,9.429775958,NEVADA
155,6059,ORANGE,CA,3114363,86481,Pacific,West,0.608302016,86481,0.449944741,1.925753972,2.088666748,2,0.07776648,0,20.07396653,ORANGE
156,6061,PLACER,CA,367309,3388,Pacific,West,0.466080052,3388,0,0,1.765747208,2.075546961,0,0.054315892,13.05024145,PLACER
157,6065,RIVERSIDE,CA,2292507,73049,Pacific,West,0.694268164,73007,0.532502989,1.826999818,2.167844109,2.096910013,0.279913734,0.07592556,22.91084942,RIVERSIDE
158,6067,SACRAMENTO,CA,1462131,47706,Pacific,West,0.664686317,47706,0.622753157,0.808114474,1.978812037,2.130333768,0.205615663,0.128127641,21.93464848,SACRAMENTO
159,6069,SAN BENITO,CA,57600,828,Pacific,West,0.503508984,828,0.030439261,0,1.785140239,1.69019608,0,0,13.09123359,SAN-BENITO
160,6071,SAN BERNARDINO,CA,2088371,46985,Pacific,West,0.615004378,46985,0.34791709,1.826999818,2.21047721,2.096910013,0.082810081,0.025155894,20.29514447,SAN-BERNARDINO
161,6073,SAN DIEGO,CA,3211252,35393,Pacific,West,0.448153362,35211,0.199705716,0.535113202,1.537047138,1.954242509,0.279913734,0,14.78906095,SAN-DIEGO
162,6075,SAN FRANCISCO,CA,837442,10640,Pacific,West,0.276355981,10640,0,0,1.101272285,1.130333768,0,0,7.737967477,SAN-FRANCISCO
163,6077,SAN JOAQUIN,CA,704379,15579,Pacific,West,0.619379039,15579,0.332573786,0.910776816,1.991667484,1.77815125,0.062610602,0,17.34261309,SAN-JOAQUIN
164,6079,SAN LUIS OBISPO,CA,276443,3300,Pacific,West,0.542558448,3300,0.103856961,0.234083206,2.087950976,2.190331698,0.024354673,0,17.90442877,SAN-LUIS-OBISPO
165,6081,SAN MATEO,CA,747373,9754,Pacific,West,0.521191209,9754,0,0.150537155,1.996671741,1.51851394,0,0,17.19930989,SAN-MATEO
166,6083,SANTA BARBARA,CA,435697,2804,Pacific,West,0.492135737,2804,0.238797743,0.234083206,1.684917102,1.903089987,0,0,16.24047931,SANTA-BARBARA
167,6085,SANTA CLARA,CA,1862041,77043,Pacific,West,0.581180536,77043,0.615075785,0.660051938,1.981859326,1.84509804,0,0,19.17895769,SANTA-CLARA
168,6087,SANTA CRUZ,CA,269419,5885,Pacific,West,0.602950675,5885,0.384192266,0.497324641,1.975141728,1.84509804,0,0,16.88261891,SANTA-CRUZ
169,6089,SHASTA,CA,178980,1945,Pacific,West,0.356776527,1945,0,0,1.55680273,1.197280558,0,0,11.77362538,SHASTA
170,6093,SISKIYOU,CA,43799,28,Pacific,West,0,28,0,0,0,0,0,0,0,SISKIYOU
171,6095,SOLANO,CA,424788,4108,Pacific,West,0.543856379,4108,0.171285791,0,1.983970373,1.638489257,0,0.069523796,15.22797861,SOLANO
172,6097,SONOMA,CA,495025,3145,Pacific,West,0.428137399,3145,0.142857143,0,1.614469531,1.301029996,0,0,11.98784718,SONOMA
173,6099,STANISLAUS,CA,525491,32440,Pacific,West,0.659735325,32440,0.439768036,0.660051938,2.175486613,1.681241237,0,0,18.47258911,STANISLAUS
174,6101,SUTTER,CA,95350,924,Pacific,West,0.445082326,924,0,0,1.731126363,2.075546961,0,0,12.46230514,SUTTER
175,6103,TEHAMA,CA,63057,3900,Pacific,West,0.470798317,3900,0.330502244,0.808114474,1.54460627,1.361727836,0.070813606,0.017848391,15.53634446,TEHAMA
176,6107,TULARE,CA,454143,17423,Pacific,West,0.726873005,17423,0.515904827,1.410174465,2.09401628,1.838849091,0.179621863,0.246325124,23.98680915,TULARE
177,6109,TUOLUMNE,CA,53874,496,Pacific,West,0.261739172,496,0.048065676,0,0.891923823,1.949390007,0,0,8.637392679,TUOLUMNE
178,6111,VENTURA,CA,839620,19987,Pacific,West,0.576778458,19987,0.266508001,1.123384909,1.890890687,1.658011397,0,0,19.03368912,VENTURA
179,6113,YOLO,CA,204593,2972,Pacific,West,0.464058222,2916,0.168013037,0.128029814,1.965445298,1.638489257,0,0,15.31392133,YOLO
180,6115,YUBA,CA,73340,1220,Pacific,West,0.374953227,1220,0.371722856,0,1.348208569,1.568201724,0,0,12.37345648,YUBA
181,8001,ADAMS,CO,469193,3059,Mountain,South-West,0.489939082,3059,0.173296404,1.660051938,1.460997713,2.079181246,0,0,13.71829428,ADAMS
182,8003,ALAMOSA,CO,16253,14,Mountain,South-West,0,14,0,0,0,0,0,0,0,ALAMOSA
183,8005,ARAPAHOE,CO,607070,4296,Mountain,South-West,0.422604405,4296,0.094454492,0.477121255,1.486078232,1.77815125,0,0,11.83292334,ARAPAHOE
184,8007,ARCHULETA,CO,12194,275,Mountain,South-West,0.173320275,275,0,0,0.693060415,0.694605199,0,0,4.852967691,ARCHULETA
185,8013,BOULDER,CO,310048,6420,Mountain,South-West,0.324416481,6420,0,0,1.148422809,2.079181246,0,0.016277622,9.083661454,BOULDER
186,8014,BROOMFIELD,CO,59471,1715,Mountain,South-West,0.314998421,1715,0,0,1.148422809,1.929418926,0,0,8.819955782,BROOMFIELD
187,8019,CLEAR CREEK,CO,9031,28,Mountain,South-West,0,28,0,0,0,0,0,0,0,CLEAR-CREEK
188,8021,CONEJOS,CO,8277,14,Mountain,South-West,0,14,0,0,0,0,0,0,0,CONEJOS
189,8027,CUSTER,CO,4285,144,Mountain,South-West,0.216258266,144,0,0,0.732044333,1.230448921,0,0,5.622714921,CUSTER
190,8029,DELTA,CO,30483,168,Mountain,South-West,0.139849498,168,0,0,0.65263099,0,0,0,3.915785938,DELTA
